driver_violation_id,vehicle_driver_id,violation_id
1,1,50
2,2,51
3,3,52
4,4,53
5,5,54
6,6,55
7,7,56
8,8,57
9,9,58
10,10,59
11,11,60
12,12,61
13,13,62
14,14,63
15,15,64
16,16,65
17,17,66
18,18,67
19,19,68
20,20,69
21,21,70
22,22,71
23,23,72
24,24,73
25,25,74
26,26,75
27,27,76
28,28,77
29,29,78
30,30,79
31,31,80
32,32,81
33,33,82
34,34,83
35,35,84
36,36,85
37,37,86
38,38,87
39,39,88
40,40,89
41,41,90
42,42,91
43,43,92
44,44,93
45,45,94
46,46,95
47,47,96
48,48,97
49,49,98
50,50,99
51,51,100
52,52,101
53,53,102
54,54,103
55,55,104
56,56,105
57,57,106
58,58,107
59,59,108
60,60,109
61,61,110
62,62,111
63,63,112
64,64,113
65,65,114
66,66,115
67,67,116
68,68,117
69,69,118
70,70,119
71,71,120
72,72,121
73,73,122
74,74,123
75,75,124
76,76,125
77,77,126
78,78,127
79,79,128
80,80,129
81,81,130
82,82,131
83,83,132
84,84,133
85,85,134
86,86,135
87,87,136
88,88,137
89,89,138
90,90,139
91,91,140
92,92,141
93,93,142
94,94,143
95,95,144
96,96,145
97,97,146
98,98,147
99,99,148
100,100,149
101,101,150
102,102,1
103,103,2
104,104,3
105,105,4
106,106,5
107,107,6
108,108,7
109,109,8
110,110,9
111,111,10
112,112,11
113,113,12
114,114,13
115,115,14
116,116,15
117,117,16
118,118,17
119,119,18
120,120,19
121,121,20
122,122,21
123,123,22
124,124,23
125,125,24
126,126,25
127,127,26
128,128,27
129,129,28
130,130,29
131,131,30
132,132,31
133,133,32
134,134,33
135,135,34
136,136,35
137,137,36
138,138,37
139,139,38
140,140,39
141,141,40
142,142,41
143,143,42
144,144,43
145,145,44
146,146,45
147,147,46
148,148,47
149,149,48
150,150,49
151,151,50
152,152,51
153,153,52
154,154,53
155,155,54
156,156,55
157,157,56
158,158,57
159,159,58
160,160,59
161,161,60
162,162,61
163,163,62
164,164,63
165,165,64
166,166,65
167,167,66
168,168,67
169,169,68
170,170,69
171,171,70
172,172,71
173,173,72
174,174,73
175,175,74
176,176,75
177,177,76
178,178,77
179,179,78
180,180,79
181,181,80
182,182,81
183,183,82
184,184,83
185,185,84
186,186,85
187,187,86
188,188,87
189,189,88
190,190,89
191,191,90
192,192,91
193,193,92
194,194,93
195,195,94
196,196,95
197,197,96
198,198,97
199,199,98
200,200,99
201,201,100
202,202,101
203,203,102
204,204,103
205,205,104
206,206,105
207,207,106
208,208,107
209,209,108
210,210,109
211,211,110
212,212,111
213,213,112
214,214,113
215,215,114
216,216,115
217,217,116
218,218,117
219,219,118
220,220,119
221,221,120
222,222,121
223,223,122
224,224,123
225,225,124
226,226,125
227,227,126
228,228,127
229,229,128
230,230,129
231,231,130
232,232,131
233,233,132
234,234,133
235,235,134
236,236,135
237,237,136
238,238,137
239,239,138
240,240,139
241,241,140
242,242,141
243,243,142
244,244,143
245,245,144
246,246,145
247,247,146
248,248,147
249,249,148
250,250,149
251,1,150
252,2,1
253,3,2
254,4,3
255,5,4
256,6,5
257,7,6
258,8,7
259,9,8
260,10,9
261,11,10
262,12,11
263,13,12
264,14,13
265,15,14
266,16,15
267,17,16
268,18,17
269,19,18
270,20,19
271,21,20
272,22,21
273,23,22
274,24,23
275,25,24
276,26,25
277,27,26
278,28,27
279,29,28
280,30,29
281,31,30
282,32,31
283,33,32
284,34,33
285,35,34
286,36,35
287,37,36
288,38,37
289,39,38
290,40,39
291,41,40
292,42,41
293,43,42
294,44,43
295,45,44
296,46,45
297,47,46
298,48,47
299,49,48
300,50,49
