violation_id,violation_code,violation_date,violation_time,description
1,M11,2019-11-26,13:29,Failure to obey restricted lane
2,D53,2020-02-06,16:19,Failure to make required payment of fine and costs
3,N05,2020-01-20,11:54,FTY ROW to funeral procession
4,S26,2020-01-08,3:27,26-30 > Speed limit (detail optional)
5,S96,2020-04-20,3:07,Speed less than minimum
6,D73,2019-04-11,10:45,Obscuring
7,D16,2021-02-09,16:34,Show or use improperly - Driver license (includes DL
8,S11,2021-04-20,0:07,11-15 > Speed limit (detail optional)
9,M60,2021-03-30,14:44,Improper lane or location - slower vehicle lane
10,B80,2020-03-05,1:16,Failed to surrender driver license (includes DL
11,N53,2020-04-27,7:31,Making improper left turn
12,N61,2020-01-12,0:11,Driving wrong way at rotary intersection
13,A60,2020-03-31,20:25,Underage Convicted of Drinking and Driving at .02 or higher BAC
14,M25,2019-03-10,19:02,Failure to stop - basic rule at unsigned intersection or when entering roadway from private driveway
15,M34,2020-06-06,16:56,Following too closely
16,B50,2020-11-08,17:45,Expired or no document (or item) which is required
17,B93,2020-05-08,15:33,Loan registration or plates to another person
18,N22,2020-08-04,2:54,FTY ROW at stop sign
19,B60,2021-03-13,12:15,Failed to file document or report as required
20,D38,2020-02-17,21:40,Failure to post security or obtain release from liability
21,B01,2020-08-17,12:48,Hit and run - failure to stop and render aid after accident
22,D66,2019-09-11,3:52,Failure to remove harmful substance from traffic way
23,M84,2021-04-18,2:58,Reckless driving
24,D06,2020-06-10,10:56,Misrepresentation of identity or other facts to obtain alcohol
25,F24,2020-01-29,10:28,Violation of excess size/weight permit
26,F02,2019-06-10,8:38,Child or youth restraint not used properly as required
27,D01,2020-07-15,16:02,Misrepresentation of identity or other facts
28,N84,2019-09-03,7:27,Unsafe operation
29,M58,2021-02-18,21:53,Improper lane or location - road shoulder
30,N23,2021-02-01,19:36,FTY ROW at traffic sign
31,S16,2021-02-02,3:57,16-20 > Speed limit (detail optional)
32,M16,2019-08-22,10:53,Failure to obey traffic signal or light
33,D27,2019-08-01,16:58,Violate limited license conditions
34,B29,2020-09-01,6:30,Driving while registration suspended
35,B24,2020-03-04,15:09,Driving while license disqualified
36,S71,2019-06-24,4:28,21-30 > Speed limit (detail optional)
37,E03,2019-01-09,3:58,Operating without HAZMAT safety equipment as required by law
38,S99,2019-03-15,4:41,Speeding in a school zone
39,D43,2019-11-15,23:43,Failure to appear for or complete exam/re-exam
40,B07,2020-08-26,0:50,Leaving accident scene before police arrive - Personal injury accident
41,S96,2019-06-28,13:20,Speed less than minimum
42,W20,2020-12-01,14:31,Unable to pass DL test(s) or meet qualifications
43,M81,2020-08-26,17:24,Careless driving
44,A11,2019-09-07,0:25,Driving under the influence of alcohol with BAC at or over __ (detail field required)
45,U02,2020-03-21,10:24,Resisting arrest
46,S71,2021-03-30,9:43,21-30 > Speed limit (detail optional)
47,M11,2019-11-24,20:00,Failure to obey restricted lane
48,M19,2021-01-20,5:02,Failure to obey yield sign
49,M02,2019-05-15,16:17,Failure to obey barrier
50,B02,2021-02-18,16:53,Hit and run - failure to stop and render aid after accident - Fatal accident
